user_id,timestamp,key,mapped_to,event,filename,mapping_type
2,2024-10-02 11:39:22,input_2,Ctrl+Shift+7,mapping,002_20241002_090331_key_events.csv,shortcut
2,2024-10-02 11:39:22,input_3,Ctrl+s,mapping,002_20241002_090331_key_events.csv,shortcut
3,2024-09-30 10:05:48,input_1,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:05:48,input_2,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:05:48,input_3,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:14:15,input_1,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:14:15,input_2,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:14:15,input_3,Alt+Tab,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 10:15:02,input_1,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:15:02,input_2,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:15:02,input_3,Alt,mapping,003_20240930_100543_key_events.csv,char
3,2024-09-30 10:17:43,input_1,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:17:43,input_2,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:17:43,input_3,F6,mapping,003_20240930_100543_key_events.csv,keyboard_key
3,2024-09-30 10:18:48,input_1,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:18:48,input_2,Ctrl+Tab,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 10:18:48,input_3,F6,mapping,003_20240930_100543_key_events.csv,keyboard_key
3,2024-09-30 10:20:40,input_1,mouse_left+mouse_left,mapping,003_20240930_100543_key_events.csv,char
3,2024-09-30 10:20:40,input_2,Ctrl+Tab,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 10:20:40,input_3,F6,mapping,003_20240930_100543_key_events.csv,keyboard_key
