user_id,key,mapped_to,first_down_time,up_time,down_count,filename
10,Key.f22,mouse_left,2024-10-22 19:30:51,2024-10-22 19:30:54,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:21:39,2024-10-22 19:21:40,2,010_20241022_184543_key_events.csv
9,Key.f23,Alt+Left,2024-10-14 17:28:14,2024-10-14 17:28:25,2,009_20241014_090902_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:36:04,2024-10-22 19:36:05,2,010_20241022_184543_key_events.csv
9,Key.f23,Alt+Left,2024-10-15 13:04:01,2024-10-15 13:05:41,2,009_20241015_090316_key_events.csv
10,Key.f22,mouse_left,2024-10-25 17:48:30,2024-10-25 17:48:43,2,010_20241025_141421_key_events.csv
10,Key.f22,mouse_left,2024-10-25 17:48:09,2024-10-25 17:48:10,2,010_20241025_141421_key_events.csv
10,Key.f22,mouse_left,2024-10-25 17:47:43,2024-10-25 17:47:46,2,010_20241025_141421_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:35:53,2024-10-22 19:35:54,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-25 17:44:34,2024-10-25 17:44:47,2,010_20241025_141421_key_events.csv
9,Key.f23,Alt+Left,2024-10-15 13:00:41,2024-10-15 13:01:24,2,009_20241015_090316_key_events.csv
10,Key.f22,mouse_left,2024-10-25 17:32:52,2024-10-25 17:35:49,2,010_20241025_141421_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:21:45,2024-10-22 19:21:46,2,010_20241022_184543_key_events.csv
9,Key.f23,Alt+Left,2024-10-15 09:50:54,2024-10-15 12:38:49,2,009_20241015_090316_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:21:53,2024-10-22 19:21:55,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-25 17:30:01,2024-10-25 17:30:02,2,010_20241025_141421_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:35:25,2024-10-22 19:35:25,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-25 16:57:26,2024-10-25 16:57:28,2,010_20241025_141421_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:22:00,2024-10-22 19:22:01,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:22:10,2024-10-22 19:22:13,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:22:40,2024-10-22 19:22:40,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:22:56,2024-10-22 19:22:57,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:23:31,2024-10-22 19:23:33,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-25 14:56:08,2024-10-25 16:49:03,2,010_20241025_141421_key_events.csv
10,Key.f22,mouse_left,2024-10-25 14:51:28,2024-10-25 14:51:57,2,010_20241025_141421_key_events.csv
10,Key.f22,mouse_left,2024-10-25 14:44:34,2024-10-25 14:44:41,2,010_20241025_141421_key_events.csv
9,Key.f23,Alt+Left,2024-10-14 17:23:51,2024-10-14 17:24:02,2,009_20241014_090902_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:23:45,2024-10-22 19:23:50,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:35:20,2024-10-22 19:35:22,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:23:53,2024-10-22 19:24:05,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-24 22:13:51,2024-10-24 22:13:52,2,010_20241024_214401_key_events.csv
10,Key.f22,mouse_left,2024-10-24 21:55:12,2024-10-24 21:55:14,2,010_20241024_214401_key_events.csv
10,Key.f22,mouse_left,2024-10-24 22:00:52,2024-10-24 22:00:53,2,010_20241024_214401_key_events.csv
10,Key.f22,mouse_left,2024-10-23 17:33:01,2024-10-23 17:33:02,2,010_20241023_173255_key_events.csv
9,Key.f23,Alt+Left,2024-10-14 17:29:13,2024-10-14 17:29:17,2,009_20241014_090902_key_events.csv
9,Key.f23,Alt+Left,2024-10-14 17:10:14,2024-10-14 17:22:46,2,009_20241014_090902_key_events.csv
9,Key.f23,Alt+Left,2024-10-14 17:28:34,2024-10-14 17:28:39,2,009_20241014_090902_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:33:28,2024-10-22 19:33:30,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-23 17:34:40,2024-10-23 17:34:42,2,010_20241023_173255_key_events.csv
10,Key.f22,mouse_left,2024-10-23 17:34:17,2024-10-23 17:34:18,2,010_20241023_173255_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:33:39,2024-10-22 19:33:40,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-23 17:33:37,2024-10-23 17:33:39,2,010_20241023_173255_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:33:43,2024-10-22 19:33:44,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:43:33,2024-10-22 19:43:33,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:34:04,2024-10-22 19:34:04,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:34:08,2024-10-22 19:34:08,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:34:57,2024-10-22 19:34:58,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 23:09:27,2024-10-22 23:09:31,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:37:22,2024-10-22 19:37:28,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:34:23,2024-10-22 19:34:23,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:34:30,2024-10-22 19:34:30,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 23:02:41,2024-10-22 23:02:43,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 23:02:24,2024-10-22 23:02:27,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:34:31,2024-10-22 19:34:33,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:34:55,2024-10-22 19:34:56,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:34:41,2024-10-22 19:34:42,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:34:44,2024-10-22 19:34:44,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:34:45,2024-10-22 19:34:47,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:34:52,2024-10-22 19:34:53,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:43:34,2024-10-22 19:43:35,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 20:18:02,2024-10-22 23:00:53,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 23:02:06,2024-10-22 23:02:08,2,010_20241022_184543_key_events.csv
9,Key.f22,win,2024-10-14 09:10:18,2024-10-14 09:10:18,2,009_20241014_090902_key_events.csv
9,Key.f23,Alt+Left,2024-10-14 17:30:59,2024-10-14 17:31:13,2,009_20241014_090902_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:43:24,2024-10-22 19:43:26,2,010_20241022_184543_key_events.csv
9,Key.f23,Alt+Left,2024-10-14 17:31:27,2024-10-14 17:31:33,2,009_20241014_090902_key_events.csv
10,Key.f22,mouse_left,2024-10-22 23:01:26,2024-10-22 23:01:34,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-24 21:54:57,2024-10-24 21:55:00,2,010_20241024_214401_key_events.csv
10,Key.f22,mouse_left,2024-10-24 21:54:42,2024-10-24 21:54:46,2,010_20241024_214401_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:31:19,2024-10-22 19:31:19,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-24 21:54:20,2024-10-24 21:54:25,2,010_20241024_214401_key_events.csv
10,Key.f22,mouse_left,2024-10-24 21:48:03,2024-10-24 21:48:08,2,010_20241024_214401_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:31:32,2024-10-22 19:31:34,2,010_20241022_184543_key_events.csv
